0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1063
0, 2406, 3206, 3565, 3678, 3619, 3402, 3131, 2968, 3001, 3252, 3827, 4814, 6329, 8317, 10380, 12274
1980, 6807, 8190, 9059, 9678, 10145, 10541, 10954, 11466, 12154, 13093, 14276, 15597, 16949, 18245, 19424, 20493
6384, 11580, 13364, 14648, 15724, 16688, 17598, 18500, 19402, 20311, 21228, 22144, 23039, 23885, 24666, 25372, 26001
11520, 16453, 18528, 20045, 21296, 22410, 23415, 24310, 25106, 25826, 26471, 27039, 27541, 27979, 28357, 28679, 28953
16608, 21227, 23138, 24564, 25705, 26633, 27391, 28007, 28502, 28896, 29207, 29450, 29636, 29775, 29875, 29944, 29984
21264, 25255, 26779, 27784, 28512, 29058, 29454, 29723, 29891, 29978, 30000, 30000, 30000, 30000, 30000, 30000, 30000
24816, 27985, 28981, 29547, 29861, 29990, 30000, 30000, 30000, 30000, 30000, 30000, 30000, 30000, 30000, 30000, 30000
26736, 29221, 29818, 29997, 30000, 30000, 30000, 30000, 30000, 30000, 30000, 30000, 30000, 30000, 30000, 30000, 30000
27400, 30000, 30000, 30000, 30000, 30000, 30000, 30000, 30000, 30000, 30000, 30000, 30000, 30000, 30000, 30000, 30000
27400, 30000, 30000, 30000, 30000, 30000, 30000, 30000, 30000, 30000, 30000, 30000, 30000, 30000, 30000, 30000, 30000
27400, 30000, 30000, 30000, 30000, 30000, 30000, 30000, 30000, 30000, 30000, 30000, 30000, 30000, 30000, 30000, 30000
27400, 30000, 30000, 30000, 30000, 30000, 30000, 30000, 30000, 30000, 30000, 30000, 30000, 30000, 30000, 30000, 30000
27400, 30000, 30000, 30000, 30000, 30000, 30000, 30000, 30000, 30000, 30000, 30000, 30000, 30000, 30000, 30000, 30000
27400, 30000, 30000, 30000, 30000, 30000, 30000, 30000, 30000, 30000, 30000, 30000, 30000, 30000, 30000, 30000, 30000
27400, 29449, 29930, 30000, 30000, 30000, 30000, 30000, 30000, 30000, 30000, 30000, 30000, 30000, 30000, 30000, 30000
25788, 28535, 29419, 29851, 29975, 30000, 30000, 30000, 30000, 30000, 30000, 30000, 30000, 30000, 30000, 30000, 30000
21972, 26146, 27478, 28336, 28935, 29340, 29586, 29706, 29754, 29760, 29760, 29760, 29760, 29760, 29760, 29760, 29760
15192, 21267, 23221, 24483, 25393, 26105, 26632, 26983, 27227, 27368, 27389, 27362, 27359, 27361, 27359, 27360, 27360
5880, 12220, 14539, 16152, 17372, 18277, 19013, 19626, 20082, 20421, 20667, 20831, 20916, 20934, 20899, 20832, 20772
0, 1875, 3102, 4014, 4751, 5371, 5883, 6295, 6615, 6850, 7005, 7067, 7023, 6868, 6600, 6190, 5568
